YearsExperience,Salary
8.1,77884.67
19.1,127213.68
14.9,103343.52
12.4,88988.96
4.0,35214.78
4.0,42801.56
2.1,35893.61
17.5,128071.22
12.4,95436.18
14.5,84869.6
1.4,40240.84
19.4,123149.18
16.8,107230.78
5.0,61116.76
4.5,62810.0
4.5,61812.8
6.8,55607.82
11.0,81907.88
9.2,79312.63
6.5,72255.45
12.6,88208.26
3.7,46643.41
6.6,51936.65
8.0,58037.93
9.7,86625.26
15.9,123062.4
4.8,53279.9
10.8,94035.33
12.3,95116.36
1.9,33048.8
12.5,96113.96
4.2,66380.37
2.2,40641.74
19.0,140646.44
19.3,100302.55
16.4,120219.03
6.8,64870.47
2.9,41509.93
14.0,100917.61
9.4,57124.31
3.3,44303.28
10.4,85571.13
1.7,53278.94
18.3,116317.3
5.9,51415.06
13.6,92982.43
6.9,73654.02
10.9,87787.51
11.4,81702.4
4.5,57632.67
